"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL"
1983,25.7,27.1,33.3,37.9,49.8,57.7,65.7,69.6,58.1,47.7,31.7,14.1,43.2
1984,17.5,21,29.5,37.8,50.7,56.1,67.9,67.5,54.9,40.4,30.3,16,40.8
1985,15.1,14.6,26,44,54.3,62.2,70.9,64.5,50.3,41.7,20.7,16.5,40.1
1986,24.5,26.9,39.2,42.6,51.3,65,64.7,68.9,51.6,46.5,30.3,24.6,44.7
1987,18.6,28.2,35,50.1,55.6,62.6,65.7,64.8,62.1,49.7,34.7,23,45.8
1988,17.6,24.6,33,47.3,53.3,66.5,72.2,69.1,58.6,54.1,28.6,18.8,45.3
1989,14.5,16.7,32.5,45.6,52,60.7,71.5,63.8,57,43.9,31.4,21,42.6
1990,22,20.8,35.4,47.4,49.5,60.2,69.7,67.7,63.8,44,32.2,10.1,43.6
1991,18.1,32.1,34.1,40.9,48.2,58.6,69.1,69.9,58.3,44.5,26.9,22.8,43.6
1992,22.6,31.7,41.3,48.8,57.8,62.3,64.7,68.3,55.5,48.6,25.7,17.1,45.4
1993,17.9,20.6,30.9,40.1,53.9,55.5,58.1,61.8,56.6,44.8,25.8,22.2,40.7
1994,25.2,21.8,37.3,45.5,56.3,62.6,69.5,69.7,61.9,43.6,23.6,23,45
1995,23,28.4,31,41.5,48.8,55.6,64.5,66.3,58,42.2,34.6,26.4,43.4
1996,19.7,24.9,33.4,42.7,49.2,61.9,69.7,67.2,54.7,44,33.5,22.2,43.6
1997,21.7,24.8,33.4,39.8,53.7,61.1,66.1,67.3,60.1,44,32.7,21.2,43.8
1998,24.9,27.2,30.6,42.7,51,54.6,71.8,69.3,63.1,46.6,33,18.5,44.4
1999,23.9,23.8,31.7,40,48.5,58.5,67.7,68.3,55.7,47.7,39.4,21.6,43.9
2000,22.1,30.2,33.5,47.6,53.1,62,70.9,70.8,56.5,45.5,23.7,20.9,44.7
2001,20,22.4,35.5,43,56.4,62.4,70.8,71.3,62.3,46.3,37,17.9,45.4
2002,17.2,19,26.2,43.1,52.2,62.3,73.8,66.7,58.6,42.2,29.2,26.7,43.1
2003,28.9,24.8,36.7,43,53,62.5,75.7,72.6,58.8,50.7,27.3,27,46.8
2004,19.5,23.2,37.2,46.8,52,61.2,68.9,66.4,57.6,46.8,33,26.7,44.9
2005,23.4,25.2,33.6,43.9,51.1,57.4,70.6,68,57.4,46.3,31.1,20,44
2006,22.5,16.6,28.5,43.3,53.3,63,72.2,66.5,56,42.4,31.7,22.3,43.2
