"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL"
1967,1.1,0.07,1,1.55,1.75,4.04,2.58,0.31,0.13,0.69,0.89,0.47,"NA"
1968,0.5,0.22,0.65,0.19,2.96,2.46,0.25,3.31,0.67,1.04,1.89,0.85,"NA"
1969,2.74,1.79,0.27,0.4,0.85,3.03,0.28,0.05,0.59,0.28,1.52,0.95,"NA"
1970,0.77,0.04,0.86,0.91,1.69,2.67,0.85,0.34,1.33,0.93,2.61,1.12,"NA"
1971,0.48,0.67,0.45,1.41,1.23,2.01,0.57,1.61,0.91,0.44,1.09,1.72,"NA"
1972,0.25,0.04,0.61,0.14,0.81,1.95,0.4,1.43,1.09,1.31,1.15,0.3,"NA"
1973,1.18,0.56,0.53,0.67,0.86,1.99,1.45,0.29,1.32,0.17,1.95,1.01,"NA"
1974,0.38,0.16,1.93,0.17,0.45,0.03,0.27,1.21,0,1.61,0.45,1.15,"NA"
1975,0.61,0.79,1.08,2.27,1.48,1.98,0.92,0.39,0.75,1.08,0.63,0.77,"NA"
1976,0.54,0.2,0.59,1.15,0.8,1.67,0.62,1.83,2.24,1.25,0,0,"NA"
1977,0.71,0.21,0.68,0.22,3.55,1.9,3.67,1.02,2.13,0.15,0.56,1.51,"NA"
1978,0.94,1.16,0.33,3.23,0.27,0.45,0.85,0.08,2,0.22,0.43,0.88,"NA"
1979,0.61,1.06,0.8,0.12,0.6,0.76,1.24,1.54,0.24,0.81,0.89,0.36,"NA"
1980,0.56,1.37,0.37,0.4,4.47,1.51,1.03,0.98,1.76,0.67,0.64,0.72,"NA"
1981,1.36,0.57,0.57,1.52,3.74,0.36,0.63,0.15,0.49,1.63,1.32,1.48,"NA"
1982,0.57,0.57,2.42,0.73,1.39,2.14,1.5,0.25,1.27,1.84,1.32,2.19,16.19
1983,0.72,1.5,1.82,0.63,1.39,2.67,1.66,1.9,1.92,1.65,3.09,1.63,20.58
1984,0.31,0.69,0.84,2.23,1.25,3.42,3.11,2.61,0.36,0.95,1.67,0.44,17.88
1985,0.57,0.52,1.3,0.22,1.75,0.51,1.38,0.28,2.46,0.11,1.76,0.93,11.79
1986,0.47,0.96,1.19,1.97,1.57,1.84,0.61,2.05,0.92,0.09,0.38,0.24,12.29
1987,1.18,0.92,1.07,0.02,3.19,0.63,2.56,0.62,0,0.03,1.61,0.8,12.63
1988,0.83,0.07,0.48,2.26,0.49,0.62,0.26,0.21,0.4,0,2.56,1.21,9.39
1989,1,0.78,1.19,0.19,0.83,1.21,0.58,2.66,0.86,1.37,0.24,0.08,10.99
1990,0.93,0.61,0.69,0.9,2.25,1.76,0.66,0.75,1.13,0.23,0.71,0.6,11.22
1991,0.25,0.24,1.69,1.26,3.49,2.14,0.42,1.17,1.1,1.98,0.62,0.46,14.82
1992,0.09,1.28,0.56,0.15,0.16,2.43,0.93,0.59,0.75,0.94,1.2,1.14,10.22
